cluster,nu_imc,nu_imc_pre_gestacional,ganho_imc,nu_peso,escolaridade,log_taxa_sifilis_gest,cnes_hospitais
0,34.204,31.119,2.994,87.324,2.2,7.063,2.0
1,26.407,23.999,2.413,67.451,2.17,7.063,2.0
2,26.768,24.84,1.923,68.065,2.223,6.461,4.043
3,22.346,21.118,1.252,57.562,2.204,7.063,2.0
