K,Gap,Std
2,1.9439219321375631,0.002997020698472069
3,1.952024018205897,0.003161094178755849
4,1.9562739595140233,0.0029212588063695583
5,1.975264398556714,0.0026318508631570097
6,2.0370446402561786,0.004164119387471734
7,2.077523746562516,0.003688758436472209
8,2.0878087114425163,0.003048128102322045
