cluster,nu_imc,nu_imc_pre_gestacional,ganho_imc,nu_peso,escolaridade,log_taxa_sifilis_gest,cnes_hospitais
0,25.006,23.005,2.012,64.039,2.182,7.063,2.0
1,34.204,31.119,2.994,87.324,2.2,7.063,2.0
2,26.776,24.845,1.925,68.087,2.223,6.461,4.043
