cluster,nu_imc,nu_imc_pre_gestacional,ganho_imc,nu_peso,escolaridade,log_taxa_sifilis_gest,cnes_hospitais
0,33.99,30.978,2.933,87.234,2.199,7.038,1.995
1,24.619,22.653,1.978,62.859,2.182,7.029,1.989
2,26.723,24.949,1.765,68.384,2.253,7.324,8.611
